"indices","SAS"
6517,"Yes"
4995,"Yes"
9890,"Yes"
7200,"Yes"
4312,"Yes"
6399,"Yes"
1166,"Yes"
4800,"Yes"
9362,"Yes"
7401,"Yes"
8701,"Yes"
4271,"Yes"
635,"Yes"
7342,"Yes"
6354,"Yes"
9449,"Yes"
415,"Yes"
5033,"Yes"
3888,"Yes"
81,"Yes"
8215,"Yes"
8872,"Yes"
5263,"Yes"
8965,"Yes"
6652,"Yes"
9109,"Yes"
8145,"Yes"
4185,"Yes"
9591,"Yes"
7330,"Yes"
9665,"Yes"
1074,"Yes"
1131,"Yes"
4953,"Yes"
7857,"Yes"
5969,"Yes"
4444,"Yes"
3785,"Yes"
9624,"Yes"
4848,"Yes"
9095,"Yes"
8915,"Yes"
7388,"Yes"
3882,"Yes"
8318,"Yes"
8838,"Yes"
8852,"Yes"
4470,"Yes"
2462,"Yes"
3439,"Yes"
5879,"Yes"
8954,"Yes"
6051,"Yes"
6636,"Yes"
1494,"Yes"
3275,"Yes"
6134,"Yes"
2009,"Yes"
4764,"Yes"
6052,"Yes"
8229,"Yes"
7544,"Yes"
9936,"Yes"
1607,"Yes"
6075,"Yes"
397,"Yes"
3163,"Yes"
7640,"Yes"
669,"Yes"
969,"Yes"
7522,"Yes"
4480,"Yes"
115,"Yes"
9134,"Yes"
703,"Yes"
5793,"Yes"
7763,"Yes"
3047,"Yes"
3974,"Yes"
6136,"Yes"
2700,"Yes"
9212,"Yes"
5907,"Yes"
5074,"Yes"
2090,"Yes"
387,"Yes"
1681,"Yes"
5116,"Yes"
2896,"Yes"
4900,"Yes"
9351,"Yes"
6365,"Yes"
1324,"Yes"
2971,"Yes"
1837,"Yes"
3361,"Yes"
823,"Yes"
8046,"Yes"
5774,"Yes"
3838,"Yes"
2722,"Yes"
6744,"Yes"
1854,"Yes"
4178,"Yes"
1463,"Yes"
3248,"Yes"
5714,"Yes"
1873,"Yes"
5414,"Yes"
340,"Yes"
5388,"Yes"
1810,"Yes"
7327,"Yes"
9316,"Yes"
9913,"Yes"
7340,"Yes"
5515,"Yes"
3424,"Yes"
6057,"Yes"
73,"Yes"
7824,"Yes"
7841,"Yes"
8776,"Yes"
5552,"Yes"
2304,"Yes"
6209,"Yes"
1208,"Yes"
6978,"Yes"
1147,"Yes"
4881,"Yes"
8264,"Yes"
6896,"Yes"
193,"Yes"
6166,"Yes"
2556,"Yes"
9352,"Yes"
8106,"Yes"
2241,"Yes"
9192,"Yes"
2720,"Yes"
50,"Yes"
6450,"Yes"
5443,"Yes"
2803,"Yes"
1143,"Yes"
5328,"Yes"
4179,"Yes"
7154,"Yes"
4010,"Yes"
6998,"Yes"
6454,"Yes"
9940,"Yes"
3062,"Yes"
4753,"Yes"
4383,"Yes"
493,"Yes"
5646,"Yes"
2460,"Yes"
9861,"Yes"
513,"Yes"
8633,"Yes"
25,"Yes"
5041,"Yes"
223,"Yes"
7787,"Yes"
9975,"Yes"
9000,"Yes"
4033,"Yes"
5909,"Yes"
7169,"Yes"
9360,"Yes"
3647,"Yes"
6344,"Yes"
9195,"Yes"
927,"Yes"
6686,"Yes"
4491,"Yes"
9046,"Yes"
1428,"Yes"
8955,"Yes"
7608,"Yes"
8237,"Yes"
3101,"Yes"
9166,"Yes"
3675,"Yes"
8794,"Yes"
5325,"Yes"
5055,"Yes"
9762,"Yes"
2799,"Yes"
8607,"Yes"
6323,"Yes"
3926,"Yes"
281,"Yes"
4222,"Yes"
5297,"Yes"
9722,"Yes"
2034,"Yes"
8788,"Yes"
6547,"Yes"
7641,"Yes"
7360,"Yes"
40,"Yes"
3020,"Yes"
2807,"Yes"
377,"Yes"
1742,"Yes"
1738,"Yes"
5934,"Yes"
5099,"Yes"
9265,"Yes"
3980,"Yes"
6238,"Yes"
7670,"Yes"
6838,"Yes"
4516,"Yes"
4320,"Yes"
3884,"Yes"
9954,"Yes"
758,"Yes"
8231,"Yes"
4553,"Yes"
4643,"Yes"
3124,"Yes"
5412,"Yes"
6326,"Yes"
8771,"Yes"
5047,"Yes"
8873,"Yes"
3676,"Yes"
2242,"Yes"
9878,"Yes"
5512,"Yes"
3452,"Yes"
1703,"Yes"
8672,"Yes"
455,"Yes"
5261,"Yes"
7012,"Yes"
5916,"Yes"
9931,"Yes"
8079,"Yes"
5817,"Yes"
36,"Yes"
6781,"Yes"
7261,"Yes"
3578,"Yes"
5505,"Yes"
2450,"Yes"
4442,"Yes"
3631,"Yes"
5472,"Yes"
9234,"Yes"
4329,"Yes"
1884,"Yes"
4152,"Yes"
6001,"Yes"
187,"Yes"
8316,"Yes"
2745,"Yes"
8242,"Yes"
9719,"Yes"
9313,"Yes"
6894,"Yes"
707,"Yes"
54,"Yes"
2287,"Yes"
380,"Yes"
9698,"Yes"
4218,"Yes"
7444,"Yes"
1253,"Yes"
1616,"Yes"
7003,"Yes"
7754,"Yes"
6366,"Yes"
1870,"Yes"
7742,"Yes"
3628,"Yes"
1840,"Yes"
9941,"Yes"
5516,"Yes"
2985,"Yes"
2164,"Yes"
3241,"Yes"
1065,"Yes"
8702,"Yes"
6736,"Yes"
8679,"Yes"
3574,"Yes"
4479,"Yes"
1353,"Yes"
9136,"Yes"
3596,"Yes"
1658,"Yes"
2843,"Yes"
5310,"Yes"
7579,"Yes"
6003,"Yes"
3787,"Yes"
4228,"Yes"
2635,"Yes"
2291,"Yes"
6468,"Yes"
4450,"Yes"
1012,"Yes"
1725,"Yes"
3204,"Yes"
6511,"Yes"
4851,"Yes"
4966,"Yes"
4658,"Yes"
4990,"Yes"
2331,"Yes"
3249,"Yes"
1063,"Yes"
2756,"Yes"
7597,"Yes"
92,"Yes"
2052,"Yes"
9862,"Yes"
777,"Yes"
1090,"Yes"
1676,"Yes"
5519,"Yes"
2193,"Yes"
3668,"Yes"
6423,"Yes"
2671,"Yes"
5918,"Yes"
3162,"Yes"
9210,"Yes"
6571,"Yes"
3591,"Yes"
807,"Yes"
6066,"Yes"
1472,"Yes"
2223,"Yes"
4560,"Yes"
3383,"Yes"
8978,"Yes"
9807,"Yes"
2682,"Yes"
2577,"Yes"
4529,"Yes"
3069,"Yes"
8747,"Yes"
1452,"Yes"
630,"Yes"
4985,"Yes"
2268,"Yes"
1549,"Yes"
7683,"Yes"
4859,"Yes"
2117,"Yes"
8002,"Yes"
9944,"Yes"
5663,"Yes"
9112,"Yes"
8359,"Yes"
2845,"Yes"
3645,"Yes"
3121,"Yes"
4490,"Yes"
3297,"Yes"
3105,"Yes"
9308,"Yes"
2390,"Yes"
4234,"Yes"
4829,"Yes"
7056,"Yes"
6676,"Yes"
878,"Yes"
2886,"Yes"
5890,"Yes"
8566,"Yes"
4894,"Yes"
9150,"Yes"
9051,"Yes"
6089,"Yes"
1072,"Yes"
8835,"Yes"
9602,"Yes"
5770,"Yes"
4091,"Yes"
1560,"Yes"
5275,"Yes"
499,"Yes"
7137,"Yes"
8742,"Yes"
8792,"Yes"
8299,"Yes"
8512,"Yes"
111,"Yes"
1153,"Yes"
2389,"Yes"
3286,"Yes"
4547,"Yes"
6091,"Yes"
7517,"Yes"
85,"Yes"
4832,"Yes"
4338,"Yes"
7884,"Yes"
6275,"Yes"
9326,"Yes"
6341,"Yes"
5012,"Yes"
7770,"Yes"
4276,"Yes"
5575,"Yes"
8718,"Yes"
6767,"Yes"
1632,"Yes"
3465,"Yes"
6015,"Yes"
526,"Yes"
6391,"Yes"
5152,"Yes"
6093,"Yes"
8924,"Yes"
6615,"Yes"
9728,"Yes"
308,"Yes"
9588,"Yes"
435,"Yes"
163,"Yes"
722,"Yes"
1867,"Yes"
1711,"Yes"
4722,"Yes"
238,"Yes"
7411,"Yes"
5001,"Yes"
8941,"Yes"
9841,"Yes"
4766,"Yes"
3963,"Yes"
6122,"Yes"
8890,"Yes"
1334,"Yes"
4076,"Yes"
5444,"Yes"
5511,"Yes"
8654,"Yes"
1502,"Yes"
8710,"Yes"
3434,"Yes"
4437,"Yes"
5354,"Yes"
2814,"Yes"
9767,"Yes"
2282,"Yes"
4248,"Yes"
3540,"Yes"
245,"Yes"
1551,"Yes"
5547,"Yes"
7941,"Yes"
5729,"Yes"
2444,"Yes"
7178,"Yes"
873,"Yes"
2119,"Yes"
6424,"Yes"
576,"Yes"
4499,"Yes"
4684,"Yes"
3646,"Yes"
2026,"Yes"
8043,"Yes"
1525,"Yes"
4029,"Yes"
5698,"Yes"
4877,"Yes"
5140,"Yes"
8248,"Yes"
529,"Yes"
7980,"Yes"
663,"Yes"
4039,"Yes"
1076,"Yes"
7210,"Yes"
7587,"Yes"
1430,"Yes"
1619,"Yes"
1625,"Yes"
8071,"Yes"
4008,"Yes"
4674,"Yes"
1713,"Yes"
1326,"Yes"
6747,"Yes"
