"indices","SAS"
1922,"Yes"
7988,"Yes"
6345,"Yes"
6020,"Yes"
7920,"Yes"
9464,"Yes"
3860,"Yes"
4625,"Yes"
4966,"Yes"
3182,"Yes"
5063,"Yes"
9763,"Yes"
313,"Yes"
4171,"Yes"
5697,"Yes"
9249,"Yes"
2823,"Yes"
9019,"Yes"
908,"Yes"
6019,"Yes"
3813,"Yes"
4019,"Yes"
8732,"Yes"
5768,"Yes"
3246,"Yes"
2791,"Yes"
113,"Yes"
6398,"Yes"
2296,"Yes"
4455,"Yes"
6470,"Yes"
1493,"Yes"
6086,"Yes"
6450,"Yes"
1918,"Yes"
3997,"Yes"
9313,"Yes"
8817,"Yes"
4606,"Yes"
9971,"Yes"
3592,"Yes"
7883,"Yes"
9905,"Yes"
9069,"Yes"
4795,"Yes"
6917,"Yes"
7273,"Yes"
9731,"Yes"
592,"Yes"
4792,"Yes"
3309,"Yes"
5463,"Yes"
1360,"Yes"
1394,"Yes"
733,"Yes"
466,"Yes"
7609,"Yes"
3168,"Yes"
1744,"Yes"
811,"Yes"
1635,"Yes"
4214,"Yes"
1897,"Yes"
7995,"Yes"
290,"Yes"
2324,"Yes"
7031,"Yes"
6715,"Yes"
5720,"Yes"
6575,"Yes"
5668,"Yes"
4932,"Yes"
9760,"Yes"
8125,"Yes"
9326,"Yes"
9188,"Yes"
6018,"Yes"
765,"Yes"
7060,"Yes"
8689,"Yes"
5661,"Yes"
5092,"Yes"
7466,"Yes"
2223,"Yes"
8839,"Yes"
3514,"Yes"
7876,"Yes"
50,"Yes"
6237,"Yes"
1896,"Yes"
9880,"Yes"
1563,"Yes"
8244,"Yes"
4021,"Yes"
5389,"Yes"
3519,"Yes"
3933,"Yes"
8515,"Yes"
6823,"Yes"
3494,"Yes"
914,"Yes"
2691,"Yes"
166,"Yes"
6130,"Yes"
6459,"Yes"
9641,"Yes"
1501,"Yes"
4553,"Yes"
2114,"Yes"
2589,"Yes"
2193,"Yes"
7019,"Yes"
6087,"Yes"
8585,"Yes"
6559,"Yes"
4727,"Yes"
9388,"Yes"
5770,"Yes"
375,"Yes"
784,"Yes"
760,"Yes"
3252,"Yes"
7480,"Yes"
5228,"Yes"
5229,"Yes"
7540,"Yes"
9899,"Yes"
6208,"Yes"
55,"Yes"
4263,"Yes"
1425,"Yes"
6887,"Yes"
9526,"Yes"
3743,"Yes"
9862,"Yes"
8606,"Yes"
9929,"Yes"
3406,"Yes"
3083,"Yes"
6430,"Yes"
7796,"Yes"
3565,"Yes"
8497,"Yes"
4983,"Yes"
8543,"Yes"
3098,"Yes"
1026,"Yes"
9932,"Yes"
5397,"Yes"
9843,"Yes"
4115,"Yes"
1940,"Yes"
4415,"Yes"
1781,"Yes"
7209,"Yes"
8385,"Yes"
9109,"Yes"
1121,"Yes"
3193,"Yes"
1333,"Yes"
9600,"Yes"
2182,"Yes"
2198,"Yes"
5353,"Yes"
2049,"Yes"
5626,"Yes"
4836,"Yes"
3201,"Yes"
9636,"Yes"
6129,"Yes"
5849,"Yes"
3791,"Yes"
5445,"Yes"
580,"Yes"
3225,"Yes"
5716,"Yes"
6872,"Yes"
5263,"Yes"
9305,"Yes"
6949,"Yes"
6012,"Yes"
7200,"Yes"
3649,"Yes"
5750,"Yes"
1141,"Yes"
9454,"Yes"
8184,"Yes"
1357,"Yes"
8502,"Yes"
2105,"Yes"
2146,"Yes"
3573,"Yes"
9033,"Yes"
229,"Yes"
9712,"Yes"
177,"Yes"
8536,"Yes"
726,"Yes"
5749,"Yes"
9472,"Yes"
5335,"Yes"
2137,"Yes"
8057,"Yes"
1747,"Yes"
6748,"Yes"
1957,"Yes"
9229,"Yes"
3497,"Yes"
8592,"Yes"
3409,"Yes"
1380,"Yes"
2084,"Yes"
106,"Yes"
3930,"Yes"
5592,"Yes"
3221,"Yes"
2047,"Yes"
241,"Yes"
6172,"Yes"
143,"Yes"
1489,"Yes"
4146,"Yes"
1217,"Yes"
2547,"Yes"
8,"Yes"
8513,"Yes"
3079,"Yes"
9950,"Yes"
1453,"Yes"
7981,"Yes"
3898,"Yes"
2671,"Yes"
4745,"Yes"
8127,"Yes"
4807,"Yes"
9135,"Yes"
5130,"Yes"
9582,"Yes"
945,"Yes"
4403,"Yes"
3628,"Yes"
2140,"Yes"
4315,"Yes"
1996,"Yes"
2784,"Yes"
7807,"Yes"
3003,"Yes"
8746,"Yes"
1510,"Yes"
925,"Yes"
8249,"Yes"
5930,"Yes"
6104,"Yes"
5345,"Yes"
379,"Yes"
7930,"Yes"
5699,"Yes"
3980,"Yes"
4375,"Yes"
9549,"Yes"
4428,"Yes"
2816,"Yes"
7418,"Yes"
5991,"Yes"
6828,"Yes"
4671,"Yes"
5036,"Yes"
679,"Yes"
5879,"Yes"
4887,"Yes"
3131,"Yes"
2009,"Yes"
8955,"Yes"
3094,"Yes"
8638,"Yes"
8975,"Yes"
7228,"Yes"
4423,"Yes"
8269,"Yes"
4459,"Yes"
1515,"Yes"
8696,"Yes"
1402,"Yes"
2123,"Yes"
4911,"Yes"
3472,"Yes"
8711,"Yes"
1343,"Yes"
8566,"Yes"
1546,"Yes"
7020,"Yes"
4142,"Yes"
6954,"Yes"
5001,"Yes"
6732,"Yes"
7623,"Yes"
6110,"Yes"
758,"Yes"
6340,"Yes"
2165,"Yes"
2492,"Yes"
2299,"Yes"
387,"Yes"
9246,"Yes"
6119,"Yes"
7477,"Yes"
2449,"Yes"
303,"Yes"
5053,"Yes"
7458,"Yes"
2170,"Yes"
7197,"Yes"
9117,"Yes"
6620,"Yes"
4383,"Yes"
3136,"Yes"
2912,"Yes"
3751,"Yes"
6858,"Yes"
8874,"Yes"
8319,"Yes"
5270,"Yes"
415,"Yes"
932,"Yes"
7934,"Yes"
9413,"Yes"
5030,"Yes"
3064,"Yes"
3336,"Yes"
2751,"Yes"
5096,"Yes"
7016,"Yes"
2175,"Yes"
5664,"Yes"
6950,"Yes"
5704,"Yes"
8958,"Yes"
4883,"Yes"
186,"Yes"
5369,"Yes"
8384,"Yes"
8404,"Yes"
5245,"Yes"
5665,"Yes"
1368,"Yes"
1824,"Yes"
1686,"Yes"
2537,"Yes"
7186,"Yes"
2029,"Yes"
7238,"Yes"
7557,"Yes"
9108,"Yes"
289,"Yes"
471,"Yes"
5322,"Yes"
8313,"Yes"
6951,"Yes"
6973,"Yes"
3621,"Yes"
7588,"Yes"
9604,"Yes"
9018,"Yes"
5994,"Yes"
8978,"Yes"
1232,"Yes"
1473,"Yes"
2041,"Yes"
1656,"Yes"
5085,"Yes"
1976,"Yes"
6092,"Yes"
2246,"Yes"
5098,"Yes"
6256,"Yes"
3359,"Yes"
8914,"Yes"
8144,"Yes"
8624,"Yes"
2593,"Yes"
7165,"Yes"
2059,"Yes"
5999,"Yes"
5643,"Yes"
3876,"Yes"
5654,"Yes"
5588,"Yes"
1839,"Yes"
1731,"Yes"
8542,"Yes"
9622,"Yes"
2825,"Yes"
2486,"Yes"
4565,"Yes"
4759,"Yes"
4091,"Yes"
7645,"Yes"
498,"Yes"
7791,"Yes"
2067,"Yes"
7107,"Yes"
9610,"Yes"
2852,"Yes"
8443,"Yes"
3633,"Yes"
7484,"Yes"
2149,"Yes"
4007,"Yes"
4077,"Yes"
52,"Yes"
7677,"Yes"
2865,"Yes"
355,"Yes"
552,"Yes"
7432,"Yes"
8961,"Yes"
7269,"Yes"
2126,"Yes"
4655,"Yes"
3118,"Yes"
6555,"Yes"
584,"Yes"
4099,"Yes"
7388,"Yes"
591,"Yes"
2678,"Yes"
1813,"Yes"
3022,"Yes"
1082,"Yes"
846,"Yes"
9741,"Yes"
336,"Yes"
8415,"Yes"
575,"Yes"
5944,"Yes"
4200,"Yes"
8253,"Yes"
7665,"Yes"
9368,"Yes"
210,"Yes"
3360,"Yes"
6016,"Yes"
6686,"Yes"
8006,"Yes"
7598,"Yes"
7805,"Yes"
2242,"Yes"
6911,"Yes"
9505,"Yes"
3032,"Yes"
8640,"Yes"
9855,"Yes"
878,"Yes"
8388,"Yes"
1752,"Yes"
424,"Yes"
6654,"Yes"
9147,"Yes"
7599,"Yes"
5819,"Yes"
7262,"Yes"
9391,"Yes"
449,"Yes"
861,"Yes"
5306,"Yes"
8037,"Yes"
9331,"Yes"
1168,"Yes"
1464,"Yes"
781,"Yes"
614,"Yes"
1313,"Yes"
4373,"Yes"
9612,"Yes"
4813,"Yes"
2235,"Yes"
1363,"Yes"
5422,"Yes"
7,"Yes"
1699,"Yes"
6421,"Yes"
7548,"Yes"
7553,"Yes"
5971,"Yes"
8001,"Yes"
7145,"Yes"
3377,"Yes"
3517,"Yes"
4658,"Yes"
432,"Yes"
9363,"Yes"
8049,"Yes"
2666,"Yes"
2761,"Yes"
8873,"Yes"
9133,"Yes"
1301,"Yes"
3763,"Yes"
5882,"Yes"
2906,"Yes"
7069,"Yes"
6810,"Yes"
8687,"Yes"
3305,"Yes"
4884,"Yes"
6238,"Yes"
7901,"Yes"
1326,"Yes"
2682,"Yes"
9348,"Yes"
8528,"Yes"
5863,"Yes"
9544,"Yes"
4332,"Yes"
2016,"Yes"
5165,"Yes"
8108,"Yes"
2747,"Yes"
3291,"Yes"
2512,"Yes"
1748,"Yes"
4633,"Yes"
1885,"Yes"
3526,"Yes"
9940,"Yes"
4366,"Yes"
9005,"Yes"
8348,"Yes"
6180,"Yes"
4067,"Yes"
5042,"Yes"
8258,"Yes"
7828,"Yes"
8904,"Yes"
110,"Yes"
8301,"Yes"
5376,"Yes"
9405,"Yes"
7045,"Yes"
7795,"Yes"
22,"Yes"
6618,"Yes"
7872,"Yes"
268,"Yes"
1276,"Yes"
4080,"Yes"
7372,"Yes"
7871,"Yes"
9177,"Yes"
7387,"Yes"
1435,"Yes"
8177,"Yes"
7618,"Yes"
746,"Yes"
8192,"Yes"
1852,"Yes"
823,"Yes"
6011,"Yes"
8455,"Yes"
7773,"Yes"
1496,"Yes"
8481,"Yes"
2978,"Yes"
5217,"Yes"
3268,"Yes"
3905,"Yes"
3505,"Yes"
8895,"Yes"
1939,"Yes"
9668,"Yes"
4114,"Yes"
5185,"Yes"
3953,"Yes"
7166,"Yes"
255,"Yes"
6493,"Yes"
2501,"Yes"
4493,"Yes"
6410,"Yes"
4724,"Yes"
9657,"Yes"
1233,"Yes"
9400,"Yes"
9823,"Yes"
6281,"Yes"
1502,"Yes"
5307,"Yes"
317,"Yes"
2913,"Yes"
4602,"Yes"
3678,"Yes"
7225,"Yes"
7361,"Yes"
9701,"Yes"
6356,"Yes"
5000,"Yes"
337,"Yes"
4321,"Yes"
2893,"Yes"
4424,"Yes"
5852,"Yes"
9540,"Yes"
7256,"Yes"
740,"Yes"
7637,"Yes"
9694,"Yes"
497,"Yes"
6826,"Yes"
7047,"Yes"
9257,"Yes"
1181,"Yes"
6363,"Yes"
8526,"Yes"
3370,"Yes"
2230,"Yes"
3100,"Yes"
491,"Yes"
7536,"Yes"
5596,"Yes"
8414,"Yes"
8209,"Yes"
6754,"Yes"
9377,"Yes"
4247,"Yes"
5141,"Yes"
867,"Yes"
9791,"Yes"
7960,"Yes"
4109,"Yes"
3165,"Yes"
6604,"Yes"
8082,"Yes"
2190,"Yes"
3546,"Yes"
276,"Yes"
3109,"Yes"
817,"Yes"
8825,"Yes"
9314,"Yes"
2145,"Yes"
5557,"Yes"
1661,"Yes"
4996,"Yes"
7065,"Yes"
1436,"Yes"
312,"Yes"
8679,"Yes"
1547,"Yes"
4760,"Yes"
2493,"Yes"
