"indices","SAS"
377,"Yes"
3,"Yes"
699,"Yes"
736,"Yes"
999,"Yes"
810,"Yes"
831,"Yes"
727,"Yes"
318,"Yes"
960,"Yes"
293,"Yes"
442,"Yes"
200,"Yes"
669,"Yes"
291,"Yes"
661,"Yes"
704,"Yes"
486,"Yes"
971,"Yes"
46,"Yes"
423,"Yes"
846,"Yes"
463,"Yes"
821,"Yes"
548,"Yes"
734,"Yes"
229,"Yes"
957,"Yes"
66,"Yes"
491,"Yes"
355,"Yes"
978,"Yes"
272,"Yes"
207,"Yes"
963,"Yes"
586,"Yes"
278,"Yes"
485,"Yes"
507,"Yes"
762,"Yes"
312,"Yes"
705,"Yes"
701,"Yes"
555,"Yes"
742,"Yes"
14,"Yes"
57,"Yes"
740,"Yes"
599,"Yes"
328,"Yes"
668,"Yes"
343,"Yes"
10,"Yes"
410,"Yes"
615,"Yes"
947,"Yes"
146,"Yes"
499,"Yes"
162,"Yes"
698,"Yes"
787,"Yes"
917,"Yes"
337,"Yes"
935,"Yes"
750,"Yes"
297,"Yes"
695,"Yes"
77,"Yes"
353,"Yes"
212,"Yes"
90,"Yes"
306,"Yes"
142,"Yes"
185,"Yes"
449,"Yes"
407,"Yes"
472,"Yes"
794,"Yes"
815,"Yes"
381,"Yes"
755,"Yes"
958,"Yes"
320,"Yes"
1,"Yes"
529,"Yes"
928,"Yes"
5,"Yes"
134,"Yes"
504,"Yes"
855,"Yes"
161,"Yes"
4,"Yes"
510,"Yes"
29,"Yes"
175,"Yes"
311,"Yes"
702,"Yes"
119,"Yes"
749,"Yes"
980,"Yes"
500,"Yes"
541,"Yes"
444,"Yes"
873,"Yes"
819,"Yes"
152,"Yes"
622,"Yes"
692,"Yes"
403,"Yes"
120,"Yes"
197,"Yes"
683,"Yes"
121,"Yes"
663,"Yes"
890,"Yes"
112,"Yes"
352,"Yes"
942,"Yes"
691,"Yes"
153,"Yes"
582,"Yes"
508,"Yes"
624,"Yes"
904,"Yes"
129,"Yes"
276,"Yes"
245,"Yes"
706,"Yes"
770,"Yes"
877,"Yes"
694,"Yes"
418,"Yes"
628,"Yes"
662,"Yes"
990,"Yes"
150,"Yes"
226,"Yes"
771,"Yes"
179,"Yes"
217,"Yes"
965,"Yes"
166,"Yes"
74,"Yes"
113,"Yes"
790,"Yes"
843,"Yes"
244,"Yes"
466,"Yes"
433,"Yes"
329,"Yes"
389,"Yes"
657,"Yes"
218,"Yes"
206,"Yes"
719,"Yes"
173,"Yes"
915,"Yes"
939,"Yes"
265,"Yes"
211,"Yes"
650,"Yes"
280,"Yes"
638,"Yes"
52,"Yes"
943,"Yes"
448,"Yes"
459,"Yes"
108,"Yes"
940,"Yes"
446,"Yes"
531,"Yes"
17,"Yes"
124,"Yes"
547,"Yes"
287,"Yes"
889,"Yes"
126,"Yes"
174,"Yes"
739,"Yes"
977,"Yes"
11,"Yes"
256,"Yes"
720,"Yes"
378,"Yes"
84,"Yes"
670,"Yes"
581,"Yes"
895,"Yes"
534,"Yes"
323,"Yes"
495,"Yes"
745,"Yes"
228,"Yes"
